Source,Target,Type,Id,Label,Weight
38,37,Directed,512,,8.0
38,41,Directed,510,,9.0
38,43,Directed,513,,6.0
38,48,Directed,509,,11.0
38,235,Directed,514,,5.0
39,3,Directed,515,,20.0
39,37,Directed,516,,15.0
39,242,Directed,517,,5.0
41,37,Directed,519,,22.0
41,38,Directed,518,,25.0
41,48,Directed,521,,5.0
41,252,Directed,520,,6.0
41,253,Directed,522,,5.0
43,20,Directed,525,,713.0
43,33,Directed,524,,841.0
43,36,Directed,530,,415.0
43,54,Directed,527,,478.0
43,103,Directed,537,,279.0
43,118,Directed,529,,418.0
43,119,Directed,534,,334.0
43,124,Directed,532,,377.0
43,144,Directed,528,,430.0
43,174,Directed,533,,337.0
43,213,Directed,523,,937.0
43,214,Directed,536,,321.0
43,227,Directed,531,,385.0
43,228,Directed,526,,498.0
43,260,Directed,535,,333.0
44,38,Directed,538,,6.0
48,22,Directed,539,,1604.0
48,23,Directed,542,,447.0
48,36,Directed,553,,122.0
48,69,Directed,541,,609.0
48,71,Directed,546,,216.0
48,103,Directed,540,,692.0
48,111,Directed,549,,140.0
48,119,Directed,543,,421.0
48,147,Directed,544,,238.0
48,176,Directed,547,,180.0
48,180,Directed,545,,227.0
48,259,Directed,548,,174.0
48,268,Directed,550,,133.0
48,269,Directed,551,,130.0
48,270,Directed,552,,130.0
51,5,Directed,555,,10.0
51,119,Directed,554,,12.0
51,258,Directed,557,,5.0
51,271,Directed,556,,6.0
52,8,Directed,571,,11.0
52,17,Directed,560,,34.0
52,22,Directed,562,,23.0
52,33,Directed,568,,13.0
52,54,Directed,558,,48.0
52,55,Directed,563,,21.0
52,60,Directed,570,,12.0
52,144,Directed,559,,35.0
52,179,Directed,561,,33.0
52,278,Directed,564,,20.0
52,279,Directed,565,,20.0
52,280,Directed,566,,17.0
52,281,Directed,567,,14.0
52,282,Directed,569,,13.0
52,283,Directed,572,,11.0
53,8,Directed,583,,111.0
53,17,Directed,579,,165.0
53,20,Directed,580,,130.0
53,22,Directed,575,,194.0
53,23,Directed,576,,189.0
53,33,Directed,581,,125.0
53,54,Directed,574,,204.0
53,84,Directed,586,,88.0
53,85,Directed,577,,174.0
53,87,Directed,582,,118.0
53,90,Directed,578,,167.0
53,91,Directed,573,,219.0
53,119,Directed,585,,94.0
53,214,Directed,587,,79.0
53,284,Directed,584,,96.0
54,17,Directed,593,,1392.0
54,20,Directed,591,,1522.0
54,25,Directed,599,,564.0
54,33,Directed,588,,5431.0
54,118,Directed,598,,571.0
54,121,Directed,602,,483.0
54,144,Directed,589,,4731.0
54,162,Directed,596,,720.0
54,170,Directed,597,,589.0
54,179,Directed,595,,765.0
54,187,Directed,590,,2099.0
54,213,Directed,594,,895.0
54,285,Directed,592,,1414.0
54,286,Directed,600,,543.0
54,287,Directed,601,,509.0
55,8,Directed,604,,34.0
55,17,Directed,608,,25.0
55,52,Directed,609,,20.0
55,53,Directed,606,,29.0
55,56,Directed,611,,19.0
55,83,Directed,607,,26.0
55,179,Directed,613,,16.0
55,280,Directed,605,,31.0
55,288,Directed,603,,41.0
55,289,Directed,610,,20.0
55,290,Directed,612,,18.0
55,291,Directed,614,,15.0
55,292,Directed,615,,15.0
55,293,Directed,616,,14.0
55,294,Directed,617,,13.0
56,53,Directed,618,,5.0
59,230,Directed,632,,60.0
59,302,Directed,619,,219.0
59,303,Directed,620,,201.0
59,304,Directed,621,,174.0
59,305,Directed,622,,172.0
59,306,Directed,623,,138.0
59,307,Directed,624,,87.0
59,308,Directed,625,,80.0
59,309,Directed,626,,78.0
59,310,Directed,627,,78.0
59,311,Directed,628,,73.0
59,312,Directed,629,,73.0
59,313,Directed,630,,67.0
59,314,Directed,631,,63.0
59,315,Directed,633,,53.0
60,17,Directed,634,,14.0
60,33,Directed,637,,6.0
60,53,Directed,638,,5.0
60,54,Directed,636,,10.0
60,179,Directed,635,,12.0
61,154,Directed,639,,6.0
65,17,Directed,641,,317.0
65,20,Directed,645,,206.0
65,33,Directed,653,,82.0
65,68,Directed,640,,1587.0
65,154,Directed,648,,157.0
65,158,Directed,642,,246.0
65,237,Directed,647,,159.0
65,328,Directed,643,,237.0
65,329,Directed,644,,234.0
65,330,Directed,646,,179.0
65,331,Directed,649,,155.0
65,332,Directed,650,,120.0
65,333,Directed,651,,106.0
65,334,Directed,652,,96.0
65,335,Directed,654,,74.0
66,22,Directed,662,,21.0
66,33,Directed,669,,11.0
66,67,Directed,667,,14.0
66,146,Directed,666,,17.0
66,333,Directed,661,,23.0
66,336,Directed,655,,56.0
66,337,Directed,656,,42.0
66,338,Directed,657,,34.0
66,339,Directed,658,,31.0
