business analyst,158,50289,65991,90705
computer operator,159,31973,41007,63520
lead programmer,160,58261,91849,134480
controller,161,58702,96425,151084
program manager,162,81379,122000,159455
system analyst,163,57972,72670,79173
senior systems analyst,164,62846,77466,105395
senior web developer,165,67540,95315,118943
web designer,166,37980,55000,80558
front end web developer,167,45553,75563,104113
application developer,168,59354,84175,111175
systems architect,169,62555,75237,137042
senior project manager,170,85058,108704,138539
project coordinator,171,36382,49661,72826
senior business analyst,172,64750,85329,116489
construction manager,173,52558,77419,136565
operations manager,174,48835,78678,127362
lead developer,175,71236,104727,137630
server,176,8803,24383,40600
research intern,177,,,
graduate assistant,178,10150,20300,28903
president,179,75000,166413,332825
tutor,180,5372,20955,45363
senior systems engineer,181,71343,101500,134193
network engineer,182,54361,72040,105577
systems administrator,183,50575,72258,100000
network administrator,184,49874,63520,80938
system administrator,185,50575,72258,100000
test engineer,186,59871,74331,108387
senior manager,187,91350,130000,177507
principal consultant,188,91165,117562,155883
independent consultant,189,,,
project lead,190,71225,87155,105245
role developer,191,,,
senior software consultant,192,77760,98787,129806
principal engineer,193,94059,120000,165161
lead engineer,194,65490,82201,102246
senior design engineer,195,75871,101500,125811
site engineer,196,,,
senior project engineer,197,72065,93564,119839
field engineer,198,52353,63751,83099
manufacturing engineer,199,55825,70622,91373
task manager,200,,,
process engineer,201,61667,88382,118709
civil engineer,202,53252,66565,91059
mechanical designer,203,46215,62543,85381
senior designer,204,58857,85000,121241
mechanical design engineer,205,59576,74095,93168
product engineer,206,55790,83933,127469
senior electrical engineer,207,76125,95690,125935
electrical design engineer,208,67823,90082,114828
electrical designer,209,53236,72923,103226
electrician,210,32040,55783,84274
electrical supervisor,211,,,
electrical technician,212,43944,53076,72170
general manager,213,38115,57703,111155
supervisor,214,35525,55825,86618
senior mechanical engineer,215,75062,93263,121930
mechanical engineer and designer,216,,,
lead mechanical engineer,217,79453,106322,122892
second engineer,218,,,
director of engineering,219,106150,157325,204010
assistant chief engineer,220,55369,73080,99526
building engineer,221,61129,88786,106625
technical superintendent,222,,,
maintenance supervisor,223,44387,68046,95029
engineering manager,224,101669,130491,154897
maintenance engineer,225,49158,70973,99744
facilities manager,226,48747,77419,126322
store manager,227,33693,48563,75542
sales representative,228,32490,55742,113247
assistant store manager,229,51207,57567,68527
medical assistant,230,23663,32500,44665
lead dental assistant,231,,,
surgical assistant,232,,,
head dental assistant,233,,,
dental receptionist,234,,,
dental director,235,,,
lead,236,47607,87741,119005
editor,237,34765,51613,88305
assistant dental director,238,,,
chief coordinator and speaker,239,,,
honorary state secretary,240,,,
co investigator advisor,241,,,
rdh temp,242,,,
rdh,243,,,
substitute dental hygienist,244,,,
cosmetic consultant,245,,,
certified phlebotomist,246,,,
sql server developer,247,56328,64538,90322
dental technician,248,,,
receptionist dental assistant,249,,,
dental assisting,250,28284,32537,40679
banquet manager and maitre,251,,,
research student,252,,,
general dentistry,253,,,
oral surgery assistant,254,,,
dental office manager,255,,,
dimensional management,256,,,
oral surgeon,257,,,
independent contractor,258,,,
internship,259,,,
sales manager,260,41466,71410,145712
lab assistant,261,26196,32480,54726
general practice resident,262,,,
dental extern,263,,,
clinical assistant,264,,,
resident,265,46404,53844,60969
dental resident,266,46646,52750,61070
faculty practice,267,,,
assistant,268,28124,37427,55415
secretary,269,23298,36521,55913
social work intern,270,,,
legal secretary,271,39789,61791,78779
data entry clerk,272,23287,30180,38906
unit secretary,273,,,
medical transcriptionist level ii,274,,,
transcriptionist contractor,275,,,
lpn,276,,,
volunteer president,277,,,
executive assistant,278,39885,56859,77419
member,279,,,
attending physician,280,122036,154167,205781
chief financial officer,281,81973,156164,288726
founder,282,,,
executive vice president,283,126875,210580,348309
substitute teacher,284,9978,22166,49030
senior director,285,125609,175365,226137
executive director,286,60900,154503,258064
product manager,287,55622,111650,158569
staff physician,288,132814,170116,294538
staff psychiatrist,289,155180,184813,223277
clinical instructor,290,56774,93663,180653
associate director,291,63727,113313,166049
chief medical officer,292,,,
clinical assistant professor,293,97774,184784,259853
medical consultant,294,,,
founder and medical director,295,,,
graduate medical education inspector,296,,,
lab technician,297,29110,37555,51150
assistant director,298,39226,56840,114271
chief executive officer,299,99993,197437,361878
director hematology,300,,,
staff attending physician,301,,,
licensed practical nurse,302,27803,41528,53762
staff nurse,303,48113,66909,91600
family nurse practitioner,304,83438,87008,101976
charge nurse,305,51626,67699,81442
nurse practitioner,306,73080,91921,113548
rn,307,36914,60000,93048
director of nursing,308,59474,75982,106767
case manager,309,28687,37213,65925
certified nursing assistant,310,,,
rn case manager,311,60982,67475,85633
registered nurse case manager,312,,,
nurse manager,313,57743,77464,105379
nursing supervisor,314,54868,60458,72437
student nurse,315,,,
consultant in,316,,,
physician assistant,317,77582,90000,111610
medical executive committee,318,,,
board certification,319,,,
college,320,,,
consultantmedical director,321,,,
correctional medicine consultant,322,,,
emergency medicine th year clerkship,323,,,
greenville,324,,,
lima memorial,325,,,
medical advisor,326,,,
monthly core program in emergency,327,,,
instructional designer,328,45000,62052,87773
technical editor,329,40836,59246,108783
lead technical writer,330,,,
proposal writer,331,43219,56590,86536
documentation specialist,332,35716,55288,86622
writer,333,34392,52091,86275
technical writer contracted,334,,,
software tester,335,51173,67613,78681
managing editor,336,40560,67007,115160
senior editor,337,53042,75034,104257
reporter,338,28903,42274,88223
editorial assistant,339,28903,33016,40398
assistant editor,340,32038,38791,61978
copy editor,341,32000,48563,74276
staff writer,342,32482,44387,66984
freelance writer,343,,,
contributing writer,344,,,
freelance editor,345,,,
executive editor,346,60946,96425,140734
editorial director,347,77563,106322,148042
senior technical writer contractor,348,,,
documentation manager,349,55251,91350,124891
senior itil technical writer,350,,,
senior technical writer consultant,351,,,
senior sap technical writer,352,,,
principal technical writer,353,75561,102791,126991
teller,354,16647,24446,30927
security officer,355,20300,30000,49970
security guard,356,17786,26626,39986
customer service,357,26323,35525,52780
home health aide,358,,,
litigation paralegal,359,39179,48563,79495
corporate counsel,360,96885,143550,186236
attorney at,361,,,
bilingual executive assistant,362,,,
legal counselor,363,,,
senior attorney,364,118146,165057,217936
assistant general counsel,365,88509,176444,224911
title examiner,366,34657,43677,64379
general counsel,367,102521,181301,365400
litigation associate,368,98738,177329,279817
english instructor,369,33331,50181,74989
assistant lecturer,370,,,
assistant economist,371,,,
legal officer and lecturer,372,,,
faculty advisor,373,,,
consultant team lead,374,,,
trainee,375,25417,43152,58000
senior architect,376,87867,119885,159483
analyst programmer,377,55703,67940,79531
business intelligence practice manager,378,,,
intern architect,379,41719,53180,59708
job captain,380,48121,60224,79421
architectural designer,381,43886,56821,75069
staff architect,382,45545,55959,71301
senior project architect,383,79699,92325,111396
principal,384,77695,144363,228375
project designer,385,43888,60301,86618
architectural intern,386,,,
construction administrator,387,44969,52604,79877
freelance designer,388,,,
drafter,389,33886,44655,57723
senior electrical designer,390,,,
cad designer,391,40563,58166,88368
lead designer,392,51526,89933,130678
team leader,393,30968,63793,133130
crew member,394,8718,20201,32641
technical consultant,395,96016,110049,117674
consultant analyst developer,396,,,
staff consultant developer,397,68488,77419,90322
consultant senior programming analyst,398,,,
staff consultant,399,58477,72065,92778
it consultant,400,53006,64455,98973
technical project lead,401,65842,91990,109309
senior net developer,402,87290,98064,121816
coordinator,403,32991,43619,59772
research scientist,404,48545,77238,123871
senior research associate,405,45714,64437,97886
research fellow,406,41044,50155,76917
postdoctoral fellow,407,39226,45419,56251
research analyst,408,42000,59354,107917
scientist,409,55471,88753,117967
program director,410,37771,77582,161762
graduate teaching assistant,411,12180,18593,25806
undergraduate research assistant,412,,,
engineering intern,413,,,
postdoctoral research associate,414,42042,46475,60115
researcher,415,41556,59909,132265
student teacher,416,,,
lead teacher,417,,,
teacher assistant,418,22258,28210,45166
special education teacher,419,39923,49126,76474
principal investigator,420,60529,103226,134255
visiting instructor,421,37281,51033,166246
content creator,422,,,
english teacher,423,33667,46999,65459
camera operator,424,,,
associate producer,425,38102,53199,75097
production assistant,426,32017,47657,50972
co chair,427,,,
residential counselor,428,25075,30363,39473
transcriber,429,,,
barista closing manager,430,,,
event director contract,431,,,
senior graphic designer,432,45395,65000,91730
freelance graphic designer,433,,,
graphic design intern,434,,,
production artist,435,35009,51192,67085
senior art director,436,69241,93000,129501
graphic,437,,,
freelance art director,438,,,
assistant art director,439,34377,49480,62033
associate art director,440,45000,61525,85044
associate creative director,441,83800,121803,166363
album producer and concert producer,442,,,
talent agent and talent,443,,,
marketing manager,444,75542,98003,131950
accounting supervisor,445,60001,77419,94967
art instructor,446,,,
art therapy intern,447,,,
art therapist,448,,,
assistant to the teacher,449,,,
preschool teacher,450,22115,32000,42503
sales engineer,451,58839,88199,145688
managing partner,452,55506,120207,310326
producer,453,43041,72112,109649
customer service agent,454,21824,30450,41488
independent marketing consultant,455,,,
production coordinator,456,35494,46451,66617
company artist,457,,,
go go dancer,458,,,
senior graphic artist,459,45088,65658,91437
freelance graphic artist,460,,,
animator,461,47845,72258,101678
concept artist,462,46890,69596,100885
illustrator,463,37149,53703,70410
assistant animator fern gully,464,,,
revisionist,465,,,
storyboard artist and character layout,466,,,
clean,467,,,
rough animator,468,,,
motion designer,469,,,
boz,470,,,
senior copywriter,471,64782,87742,121914
copywriter,472,37823,58477,94579
design director,473,79127,127455,202695
hostess,474,,,
field geologist,475,,,
head,476,,,
senior vice president,477,129019,185806,265806
n,478,,,
geology instructor,479,,,
senior geologist,480,89589,129974,188932
regional technical manager,481,,,
teacher of science,482,,,
geologic associate,483,,,
assistant party manager,484,,,
director of operations,485,58669,103226,165023
plant manager,486,64650,103941,153372
district manager,487,48977,76125,121914
chief operating officer,488,85834,171870,309677
director of manufacturing,489,109512,145358,197458
plumber,490,39907,58477,85316
loan officer,491,32375,49924,107917
mechanic,492,34514,50750,72585
warehouse manager,493,37172,53959,85000
unit manager,494,35604,53959,88525
service,495,39343,50750,69500
field tech,496,34176,50375,75973
hardware channel specialist,497,,,
maintenance field tech,498,,,
pipe line tech worker,499,,,
service plumber trainer,500,,,
director of tech ops,501,,,
executive recruiter,502,40927,76550,138702
senior corporate recruiter,503,,,
staffing manager,504,37000,47845,99748
business development manager,505,66607,111213,156902
senior it recruiter,506,,,
senior staffing consultant,507,,,
senior recruiting consultant,508,55728,75396,122833
lead recruiter,509,43558,65618,140586
staffing specialist,510,30000,39854,60444
recruiting coordinator,511,32483,46000,59661
recruiting consultant,512,40600,63174,87454
senior account executive,513,50095,70193,166928
regional sales manager,514,79287,121631,167741
senior account manager,515,75721,114683,140044
account supervisor,516,60001,77419,94967
sales executive,517,40000,82000,185961
account representative,518,30968,46782,82087
executive administrative assistant,519,38119,53161,74034
senior administrative assistant,520,39585,51148,66499
executive secretary,521,35200,47845,60115
human resources director,522,87742,139354,196696
director of human resources,523,57649,97595,150490
human resources consultant,524,38998,61935,103347
human resources coordinator,525,35000,44332,59987
human resources assistant,526,30483,40093,50962
human resources specialist,527,36540,50019,77287
human resources representative,528,40019,55038,78427
senior human resources generalist,529,53209,74327,99135
regional human resources manager,530,62329,86275,110796
human resource manager,531,70198,97808,128499
human resources administrator,532,38236,45175,70212
territory manager,533,41000,64793,121801
human resources associate,534,51740,57745,67657
talent acquisition specialist,535,42167,55850,77000
vice president human resources,536,110432,194051,259768
bookkeeper,537,25225,40000,61018
office administrator,538,47622,66499,115708
assistant branch manager,539,33501,42529,56774
area manager,540,40600,65975,110635
senior associate,541,63793,86618,132997
partner,542,107917,233134,416586
document review attorney,543,,,
senior associate attorney,544,176221,269793,293995
managing attorney,545,,,
judicial law clerk,546,39720,46451,89437
pro bono attorney,547,,,
legal fellow,548,,,
special counsel,549,,,
hire counsel,550,,,
project attorney,551,,,
of counsel,552,,,
discovery attorney,553,,,
manager contract attorney,554,,,
arnold porter,555,,,
contract law clerk,556,,,
legal research assistant,557,,,
summer law clerk,558,,,
corporate associate,559,70900,182871,244128
legal clerk,560,,,
senior paralegal,561,55305,75933,104977
corporate paralegal,562,41251,48544,81177
paralegal intern,563,,,
paralegal specialist,564,40671,53923,71038
attorney law clerk,565,,,
assistant district attorney,566,50484,64303,75268
marketing coordinator,567,34397,44609,58870
marketing associate,568,35000,48641,80000
public affairs intern,569,,,
production intern,570,,,
pr intern,571,,,
media relations intern,572,,,
event coordinator,573,32862,44377,50774
social media coordinator,574,29890,40300,53846
marketing specialist,575,38570,54224,83206
assistant account executive,576,33283,38570,44332
assistant vice president,577,71323,107000,141716
managing director,578,97871,190967,323751
director of marketing,579,66904,124105,173235
public relations manager,580,48204,77659,115779
senior jd edwards developer,581,,,
software programmer,582,49890,69161,93952
principal software developer,583,95679,115319,142100
team size,584,,,
client,585,,,
oracle hrms consultant,586,,,
functional consultant,587,53825,69294,103530
project description,588,,,
roledeveloper,589,,,
project name,590,,,
staff software engineer,591,84316,124324,150064
software development manager,592,114978,140653,170048
senior java developer,593,72112,98880,129501
java,594,,,
jee developer,595,,,
flex developer,596,58690,61189,117101
salesforce developer,597,55083,72034,113388
business systems analyst,598,57632,73150,95213
project leader,599,65019,97032,174051
development consultant,600,59271,72020,112314
senior analyst,601,58839,80000,106575
financial analyst,602,48516,63793,94300
summer analyst,603,54078,66565,72229
data analyst,604,45000,62379,90374
business system analyst,605,57632,73150,95213
senior computer operator,606,,,
lead computer operator,607,,,
computer technician,608,27011,39000,60796
computer programmer,609,52986,64209,77700
pc technician,610,29083,42000,54529
accounting manager,611,48563,78678,111690
assistant controller,612,47352,80359,130736
senior accountant,613,54648,69294,87742
accountant,614,41009,65975,101500
staff accountant,615,41290,51613,63791
corporate controller,616,83164,132035,182670
director of finance,617,70762,127587,176446
senior financial analyst,618,65975,85000,108387
cfo,619,,,
senior program manager,620,99057,131840,158340
senior system analyst,621,62846,77466,105395
system engineer,622,75542,91214,109612
front end developer,623,51194,74426,104200
net developer,624,67215,83180,99536
ui developer,625,55713,80987,106623
senior web designer,626,51827,77659,100451
web,627,,,
freelance web designer,628,,,
user interface developer,629,54053,71050,99828
web producer,630,40600,61935,88954
ui,631,,,
senior ui developer,632,91511,113548,138465
website administrator,633,,,
web designer developer,634,51384,60695,91817
senior technology lead,635,,,
web ui developer,636,,,
website front end developer,637,,,
senior application developer,638,80616,101723,120516
web developer systems architect,639,,,
technical project manager,640,71220,100380,129698
project administrator,641,38000,52000,75440
project analyst,642,44662,61667,86821
lead business analyst,643,72065,96046,121407
senior business systems analyst,644,73452,94206,123323
superintendent,645,52690,74322,121129
construction project manager,646,57700,86275,133475
construction superintendent,647,49961,74661,111948
senior construction manager,648,66607,128244,157928
project superintendent,649,57753,80000,115883
general superintendent,650,,,
site manager,651,34907,54710,101025
construction engineer,652,52277,71604,113715
production manager,653,55622,111650,158569
operations supervisor,654,41466,53677,76587
bartender,655,12071,30108,48840
student assistant,656,10150,23742,32375
senior network engineer,657,77419,103226,130531
network analyst,658,48133,60055,80989
network technician,659,35466,49000,69721
network support engineer,660,51613,72040,100645
it manager,661,85712,112800,144055
senior systems administrator,662,69713,105135,122835
technical support engineer,663,51035,74299,105207
senior network administrator,664,64821,85869,115282
senior system administrator,665,69713,105135,122835
customer support engineer,666,60308,89470,123061
it specialist,667,45000,71343,107343
senior test engineer,668,69330,90881,118561
test analyst,669,62220,66615,72258
qa analyst,670,48563,62995,83485
software test engineer,671,60816,84870,93086
qa engineer,672,56557,82097,106000
test lead,673,62727,74463,106386
qa lead,674,60825,82867,108559
senior qa engineer,675,79881,100982,127577
seniortest engineer,676,,,
qa tester,677,42731,61935,87335
role senior developer,678,,,
module leader,679,66532,76118,93472
tech lead,680,63052,86334,136948
role programmer,681,,,
period,682,,,
portal consultant,683,,,
module lead,684,65840,74397,84201
offshore project lead,685,,,
staff engineer,686,59786,110542,146297
consultant engineer,687,70006,103226,154503
senior staff engineer,688,76560,129501,165189
filed engineer,689,,,
software development engineer,690,82580,98320,120000
senior structural design engineer,691,,,
senior mechanical designer,692,60307,82200,107974
junior engineer,693,46553,58900,72483
senior site engineer,694,,,
site supervisor,695,28903,40000,66499
resident engineer,696,66206,101080,132834
assistant engineer,697,53112,64859,81098
assistant resident engineer,698,,,
senior field engineer,699,59667,75838,113912
field service engineer,700,49642,66565,88759
field technician,701,30968,46549,71416
field service technician,702,35493,48578,72611
senior manufacturing engineer,703,74747,91350,113267
industrial engineer,704,51796,65829,88571
quality engineer,705,55000,72112,94300
production supervisor,706,45325,60000,79834
manufacturing,707,40600,53795,73080
manufacturing manager,708,66632,97001,137597
outage coordinator,709,,,
lead technician,710,31669,46196,74257
shift supervisor,711,17996,39226,80193
senior instructional designer,712,59354,80500,100998
senior process engineer,713,81806,105274,127583
senior civil engineer,714,77832,95095,128000
structural engineer,715,57632,72660,85486
quantity surveyor,716,,,
civil,717,,,
civil structural engineer,718,61566,79067,108676
lead civil engineer,719,,,
mechanical drafter,720,38805,60194,72169
tool designer,721,,,
machinist,722,29580,46152,59585
piping designer,723,70989,92611,126474
mechanical,724,34514,50750,72585
electro mechanical designer,725,,,
senior structural designer,726,,,
senior piping designer,727,88347,104257,175202
senior mechanical design engineer,728,82290,101442,124642
cnc milling machinist,729,,,
mechanical project engineer,730,56977,71050,111166
senior product engineer,731,71925,119871,155287
product design engineer,732,59763,82226,120867
field electrical engineer,733,,,
principal electrical engineer,734,97296,118589,142183
senior electrical design engineer,735,77000,98639,127532
lead electrical engineer,736,77419,103226,129501
electrical maintenance engineer,737,,,
maintenance manager,738,47858,80000,112020
electrical maintenance supervisor,739,,,
electrical lab test engineer,740,,,
resistance welding engineer,741,,,
electronic engineer,742,66507,88398,113190
electrical designer contractor,743,,,
electrical drafter contractor,744,,,
cad electrical instrumentation designer,745,,,
electrical drafter,746,,,
electrical designermep,747,,,
controls engineer,748,61801,73795,95484
electrical,749,,,
journeyman electrician,750,,,
maintenance electrician,751,,,
electrical foreman,752,,,
foreman,753,30968,59456,80377
maintenance technician,754,30850,45074,74321
maintenance mechanic,755,41200,53743,75148
electronic technician,756,38963,58799,78155
i c technician,757,,,
electrician helper,758,,,
technician,759,28903,45419,68005
apprentice,760,,,
lead electrician,761,,,
senior technician,762,41899,47705,70383
senior electrician,763,,,
electrical apprentice,764,,,
service engineer,765,59595,86275,113606
leading electrical technician,766,,,
instrument technician,767,,,
electronics technician,768,38963,58799,78155
manufacturing associate,769,32884,47197,73677
industrial electrician,770,,,
test technician,771,34048,46451,58637
assistant general manager,772,30450,43645,71050
restaurant manager,773,36000,46000,59354
regional manager,774,72137,106575,167512
senior product development engineer,775,72813,95318,117226
product development engineer,776,61808,80000,104954
staff mechanical engineer,777,67400,90780,126969
designer and drafter,778,,,
facilities mechanical engineer and designer,779,,,
facility mechanical engineer,780,,,
general contractors engineersmechanical engineer project manager,781,,,
mechanical engineer project coordinator,782,,,
assistant mechanical engineer,783,55575,58275,81549
assistant project manager mechanical engineer and designer,784,,,
hvac design engineer,785,,,
piping engineer,786,59631,78080,120929
project mechanical engineer,787,56977,71050,111166
senior marine engineer,788,,,
third engineer,789,,,
fourth engineer,790,,,
adv fire fighting course,791,,,
crisis management seminar,792,,,
engine watchkeeping course,793,,,
anti piracy awareness,794,,,
seafarers regist certificate,795,,,
ship security officer certificate,796,,,
engineer officer cl ,797,,,
pneumatic and hydraulic controll system,798,,,
ship security officer isps,799,,,
practical ass,800,,,
third class engineer,801,,,
vice president of engineering,802,111722,152258,202829
stationary engineer,803,,,
operating engineer,804,59922,83097,113731
asst chief engineer,805,,,
chief building engineer,806,,,
service technician,807,29201,44377,66671
assistant director of engineering,808,,,
hvac technician,809,,,
hvac engineer,810,47169,65000,85183
facility manager,811,48747,77419,126322
recruitment officer,812,,,
assistant crewing manager,813,,,
ship building supervisor,814,,,
planning and project control chief engineer,815,,,
rd engineer,816,63842,90735,130713
marine service engineer,817,,,
mrs melissa steen human resources manager,818,,,
planner and project control engineer,819,,,
resident engineer planner and project control engineer,820,,,
service manager,821,67272,100000,125853
maintenance director,822,,,
production engineer,823,55790,83933,127469
laborer,824,20472,35233,58793
facilities coordinator,825,35513,41500,52772
property manager,826,34503,53603,79198
senior facilities manager,827,,,
department manager,828,31490,46500,79068
co manager,829,31897,44153,66399
phlebotomist,830,26275,31897,43250
medical receptionist,831,,,
nursing assistant,832,21338,26719,40821
certified medical assistant,833,,,
pharmacy technician,834,17492,31296,43137
patient care technician,835,,,
surgical technician,836,,,
surgical technologist,837,,,
suture technician,838,,,
staff privileges surgical assistant,839,,,
first assistant,840,,,
residency,841,46404,53844,60969
surgical technology consultant,842,,,
surgical technology instructor,843,,,
senior travel consultant,844,,,
data entry,845,18265,28991,38888
front desk receptionist,846,23010,36075,47859
financial counselor,847,28400,37555,55124
office coordinator,848,26280,38791,53677
travel consultant,849,30000,35322,53053
clinical professor,850,,,
staff dentist,851,99079,121265,135014
quality assurance director,852,58275,112189,173455
dental officer,853,,,
assistant clinical professor of dentistry,854,,,
attending dentist,855,,,
certified nys osha trainer,856,,,
dental staff,857,,,
dental staff operating room dental staff privileges,858,,,
divisional clinical director,859,,,
senior java,860,,,
senior stress engineer,861,,,
certified evaluated nurse assistant,862,,,
certified nurse assistant,863,,,
certified nurse assistant restorative nurse assistant,864,,,
clinical service coordinator,865,,,
claims representative,866,38151,48641,62706
phlebotomy,867,,,
customer service advocate,868,29526,31500,38082
sql server dba,869,,,
sql developer,870,56314,72281,94206
sql server,871,,,
ms sql server developer,872,,,
sql bi developer,873,54750,62266,79897
sql server bi developer,874,,,
sql,875,,,
bi developer,876,56774,71830,103226
database developer,877,57043,80000,106067
ms sql server,878,,,
senior sql server developer,879,,,
senior bi developer,880,90894,105000,115593
senior sql bi ssis,881,,,
roledental techinician,882,,,
role dental technician,883,,,
packer,884,,,
housekeeper,885,,,
field scout,886,,,
international interpreter,887,,,
roleco owner,888,,,
underwriter specialist i,889,,,
order puller,890,,,
clinical technologist,891,,,
medical technologist intern,892,,,
research technician,893,31897,38830,48346
general dental assistant,894,,,
laboratory assistant,895,28111,32149,45498
general assistant,896,,,
dental office receptionist,897,,,
traveling perio,898,,,
oral surgery,899,,,
oral surgery assistant endodontics of michiana,900,,,
assembler,901,25680,36129,53652
dental asst,902,,,
oral surgery tech,903,,,
surgical dental assitant,904,,,
school teacher,905,36510,41692,59886
realtor,906,25806,55415,128000
secretary ii,907,23214,36152,46307
assistant stage manager,908,,,
treatment coordinator,909,,,
information technical support specialist,910,,,
instructional aide,911,,,
assistant office manager,912,,,
nypd intern,913,,,
student hygienist,914,,,
externship,915,,,
director of sales,916,59871,123871,221662
undergraduate researcher,917,,,
summer research fellow,918,,,
private duty aide,919,,,
fellow,920,49884,62047,71954
accounting assistant,921,28420,38237,45325
cna,922,21558,30968,37213
monitor technician,923,,,
social worker,924,35595,47089,63297
clinical social worker,925,41250,53126,71707
therapist,926,32503,42529,57869
counselor,927,30000,40600,57873
school social worker,928,42177,50243,67191
school social work intern,929,,,
medical social worker,930,36499,51070,79511
legal administrative assistant,931,40257,55825,72045
senior legal secretary,932,,,
executive legal secretary,933,,,
litigation secretary,934,,,
floater legal secretary,935,,,
file clerk,936,24163,28915,31986
