Company	Job	Number of reviews	Overall_PM	Culture & Values_PM	Work/Life Balance_PM	Senior Management_PM	Comp & Benefits_PM	Career Opportunities_PM
Ericsson-Worldwide	product+manager	3096	3.6	3.7	3.6	3.0	3.4	3.4
Broadcom	product+manager	1185	3.6	3.4	3.3	2.9	3.6	3.3
MathWorks	product+manager	480	3.9	4.1	4.2	3.6	3.4	3.4
Zynga	product+manager	467	3.2	3.0	3.0	2.3	3.8	3.2
Guidewire	product+manager	397	4.5	4.6	4.4	4.3	4.2	4.3
Infosys	product+manager	9	2.9	2.2	2.9	2.8	2.5	3.2
BAE Systems USA	product+manager	1040	3.3	3.2	3.5	2.8	3.3	3.0
AOL	product+manager	23	3.3	3.8	4.4	3.0	3.5	2.7
Verizon	product+manager	19	3.4	3.1	3.5	2.9	4.0	3.4
GE Healthcare	product+manager	1248	3.4	3.4	3.2	2.9	3.4	3.3
Texas Instruments	product+manager	1413	3.9	3.9	3.7	3.3	3.9	3.6
Honeywell	product+manager	21	3.1	3.0	3.4	2.9	2.5	3.0
International Game Technology	product+manager	396	3.0	2.8	3.3	2.3	3.2	2.7
Avaya	product+manager	14	3.7	3.8	4.7	3.2	3.4	4.0
F5 Networks	product+manager	344	4.1	4.1	4.0	3.7	4.3	3.7
McKesson	product+manager	14	3.9	3.6	3.1	3.5	4.1	4.1
Teradata	product+manager	529	3.4	3.3	3.6	2.7	3.1	3.0
Adobe	product+manager	54	4.0	4.2	4.0	3.3	4.2	3.4
Visa Inc.	product+manager	1010	2.9	2.8	3.3	2.4	3.3	2.7
SAP	product+manager	46	4.1	3.8	4.1	2.9	3.7	3.8
IGATE	product+manager	1677	3.0	3.0	3.0	2.5	2.6	3.0
"LexisNexis Legal &amp; Professional"	product+manager	812	3.1	3.1	3.5	2.6	3.2	2.6
NCR	product+manager	19	2.3	3.0	3.4	2.0	1.8	2.1
Amazon Lab126	product+manager	161	2.9	2.6	2.7	2.4	3.2	2.9
Autodesk	product+manager	697	3.9	3.9	4.0	3.4	4.0	3.4
Red Hat	product+manager	9	4.9	5.0	4.4	4.6	4.6	4.6
Mentor Graphics	product+manager	358	3.8	3.9	4.1	3.3	3.7	3.1
Maverick Software Consulting	product+manager	30	4.6	4.7	4.6	4.6	3.9	4.8
MicroStrategy	product+manager	542	2.4	2.4	3.2	1.9	2.8	2.4
VMware	product+manager	1922	3.9	3.9	3.7	3.3	4.0	3.5
RealNetworks	product+manager	225	2.5	2.7	3.8	1.9	3.1	2.6
Sony Electronics	product+manager	525	3.3	3.3	3.3	2.8	3.4	2.7
Zillow	product+manager	334	4.2	4.4	4.2	4.2	4.1	3.9
SRA International	product+manager	593	3.2	3.3	3.6	2.7	3.0	2.9
Walmart eCommerce	product+manager	292	3.3	3.2	3.5	2.9	3.5	3.2
KLA-Tencor	product+manager	476	3.4	3.2	2.9	3.0	3.3	3.0
Xilinx	product+manager	452	3.4	3.0	3.4	3.0	3.6	3.0
Riot Games	product+manager	236	4.3	4.5	3.7	3.8	4.2	4.1
Comcast	product+manager	3620	3.3	3.1	3.1	2.8	3.7	3.2
Salesforce	product+manager	1561	4.1	4.1	3.7	3.6	4.2	3.9
Wayfair	product+manager	411	3.2	3.7	3.6	3.0	2.5	3.3
ADP	product+manager	2938	3.5	3.4	3.4	3.0	3.5	3.4
Agilent Technologies	product+manager	647	3.4	3.6	3.9	3.0	3.3	2.9
Telenav	product+manager	136	3.4	3.5	3.4	3.1	3.4	3.4
PNC Financial Services Group	product+manager	2119	3.3	3.6	3.5	3.0	2.9	3.2
Kronos Incorporated	product+manager	460	4.2	4.3	4.2	4.1	4.0	3.9
Lexmark International	product+manager	368	3.2	3.4	4.0	2.8	3.6	2.8
EchoStar	product+manager	207	2.9	2.8	3.3	2.6	2.6	2.9
Square	product+manager	139	4.3	4.3	4.2	4.2	4.0	3.9
Workday	product+manager	283	4.0	4.2	3.8	3.9	3.6	3.7
McAfee	product+manager	620	3.5	3.5	3.8	3.0	3.4	3.2
Blizzard Entertainment	product+manager	298	3.9	4.3	3.8	3.4	3.4	3.3
Eastman Kodak	product+manager	478	2.9	3.1	3.3	2.4	3.2	2.4
General Dynamics Information Technology	product+manager	762	3.0	2.8	3.1	2.5	3.1	2.9
TripAdvisor	product+manager	257	3.2	3.4	3.5	2.7	3.5	2.6
Infor	product+manager	506	3.3	3.1	3.6	3.0	3.2	3.0
Caradigm	product+manager	87	3.2	3.1	3.3	2.9	3.6	2.9
Rovi	product+manager	281	2.8	2.6	3.3	2.3	3.7	2.5
Cognizant Technology Solutions	product+manager	9587	3.5	3.5	3.3	3.0	3.0	3.4
Tech Mahindra	product+manager	3024	2.8	2.8	2.9	2.4	2.3	2.9
Western Digital	product+manager	438	3.2	3.1	3.2	2.6	3.1	2.8
Rockwell Automation	product+manager	519	3.7	3.6	3.6	3.1	3.4	3.2
DIRECTV	product+manager	892	3.6	3.6	3.2	3.1	3.7	3.4
Informatica	product+manager	607	3.9	3.9	3.9	3.6	3.9	3.6
CareerBuilder	product+manager	608	3.7	3.8	4.0	3.3	3.5	3.7
Amdocs	product+manager	1655	3.3	3.6	3.0	2.8	3.2	3.1
Thales	product+manager	329	3.3	3.1	3.4	2.6	3.4	3.0
REI Systems	product+manager	100	3.5	3.7	3.2	3.4	3.6	3.4
MICROS Systems	product+manager	271	2.6	2.4	2.5	2.1	2.3	2.5
Siemens	product+manager	1738	3.6	3.5	3.7	3.0	3.4	3.3
Capital One	product+manager	2741	3.6	3.8	3.7	3.2	3.9	3.3
Sony PlayStation Network	product+manager	71	3.6	3.7	3.8	3.2	3.7	3.4
J.P. Morgan	product+manager	6910	3.5	3.3	3.1	2.9	3.5	3.3
Epic Systems Corporation (Wisconsin)	product+manager	961	3.6	3.8	2.7	3.3	4.2	3.6
Riverbed Technology	product+manager	629	3.4	3.6	3.8	3.1	3.6	3.1
HARMAN	product+manager	230	3.2	2.9	3.0	2.5	3.2	3.0
New York Times	product+manager	203	3.7	3.9	3.9	2.8	3.4	3.1
Ancestry.com	product+manager	131	3.8	3.8	4.4	3.3	3.7	3.3
Pearson	product+manager	1295	3.0	3.1	3.5	2.5	3.3	2.7
CCC Information Services	product+manager	134	3.1	3.1	3.3	2.9	3.6	2.8
DST Systems	product+manager	258	2.8	2.8	2.9	2.6	2.8	2.8
Freescale Semiconductor	product+manager	768	3.6	3.5	3.6	3.2	3.6	3.1
CBS Interactive	product+manager	240	3.3	3.3	3.5	2.9	2.8	3.0
Pinterest	product+manager	39	4.1	4.1	4.2	3.5	4.0	4.2
Tableau Software	product+manager	181	4.3	4.6	4.0	4.2	3.7	4.1
UnitedHealth Group	product+manager	3524	3.0	3.0	3.1	2.5	2.9	2.9
Intermountain Healthcare	product+manager	305	3.9	4.2	3.8	3.5	3.4	3.6
"S&P; Capital IQ"	product+manager	408	3.3	3.2	3.9	2.9	3.4	2.9
TradeStation	product+manager	55	3.1	3.0	3.6	2.5	3.6	2.8
Vecna Technologies	product+manager	96	2.5	2.7	3.7	2.1	2.9	2.3
Spirent Communications	product+manager	136	3.0	2.9	3.3	2.3	3.2	2.7
HomeAway	product+manager	225	4.1	4.2	4.0	3.8	4.1	3.8
Rearden Commerce	product+manager	136	2.3	2.4	2.9	2.1	3.0	2.4
ARRIS	product+manager	168	3.3	3.2	3.6	3.0	3.5	2.9
Ciena	product+manager	235	3.5	3.4	3.7	3.0	3.5	2.8
Good Technology	product+manager	166	2.4	2.5	2.8	2.0	3.3	2.2
Marvell Technology	product+manager	485	3.2	2.8	3.2	2.6	2.9	3.0
HERE	product+manager	139	3.5	3.6	3.8	3.0	3.5	3.0
Evernote	product+manager	93	3.9	4.0	4.2	3.3	4.0	3.7
Risk Management Solutions	product+manager	239	2.8	2.8	3.4	2.2	3.4	2.8
Applied Predictive Technologies	product+manager	98	4.5	4.8	3.8	4.7	4.7	4.7
Volt Information Sciences	product+manager	342	3.0	2.8	3.1	2.7	2.4	2.7
Goldman Sachs	product+manager	2348	3.8	3.8	2.6	3.5	3.8	3.9
UBS	product+manager	2061	3.4	3.3	3.5	3.0	3.2	3.2
Continental	product+manager	532	3.7	3.6	3.6	3.1	3.5	3.4
Apollo Education Group	product+manager	478	2.6	2.7	3.4	1.9	3.4	2.3
JDSU	product+manager	239	2.8	2.5	2.8	2.3	3.1	2.5
Sears	product+manager	6254	2.6	2.5	2.8	2.2	2.3	2.5
TEKsystems	product+manager	1168	3.4	3.6	3.1	3.3	3.0	3.5
Concur	product+manager	342	3.9	4.1	3.9	3.6	3.6	3.6
Yelp	product+manager	520	3.6	4.0	3.9	3.5	3.3	3.5
Palantir Technologies	product+manager	175	4.4	4.5	3.1	4.1	4.0	4.4
Cobalt	product+manager	283	3.7	3.9	4.0	3.5	3.2	3.5
Getty Images	product+manager	185	3.2	3.5	3.8	2.7	3.4	2.7
Level 3 Communications	product+manager	721	2.9	2.6	2.9	2.5	3.4	2.8
Blue Coat Systems	product+manager	199	3.7	3.6	3.7	3.4	3.8	3.4
Autonomy	product+manager	355	2.8	2.9	3.2	2.3	3.1	2.4
Shopzilla	product+manager	97	3.0	3.1	3.4	2.8	3.3	2.7
GREE International	product+manager	94	2.6	2.7	3.5	2.2	3.9	2.6
Fluke Networks	product+manager	109	2.3	2.6	2.9	2.1	2.8	2.2
Next Jump	product+manager	126	3.6	3.7	2.8	3.4	3.8	3.7
Trulia	product+manager	253	3.8	3.9	4.1	3.6	4.1	3.6
DreamWorks Animation	product+manager	239	3.7	3.9	3.9	2.8	3.5	3.2
Sybase	product+manager	148	3.3	3.1	3.3	2.5	3.5	2.7
Adknowledge	product+manager	138	3.3	3.1	3.3	3.0	3.6	3.1
Marchex	product+manager	129	4.1	4.3	4.5	3.9	3.5	3.8
RSA Security	product+manager	191	3.4	3.4	3.7	2.9	3.6	3.2
Samsung Electronics America	product+manager	404	2.9	2.5	2.4	2.3	3.7	2.7
Ask.com	product+manager	85	3.3	3.3	3.8	2.5	3.6	3.1
Ticketmaster	product+manager	224	3.5	3.4	3.6	3.1	3.1	3.3
MedAssets	product+manager	326	2.6	3.1	3.4	2.2	2.4	2.3
SuccessFactors	product+manager	267	3.4	3.4	3.2	2.9	3.5	3.2
Mitchell International	product+manager	136	3.2	3.2	3.3	2.9	3.0	2.8
Neustar	product+manager	256	3.0	2.7	3.2	2.4	4.0	2.8
Plex Systems, Inc.	product+manager	64	4.8	4.9	4.8	4.7	4.5	4.6
Emerson	product+manager	1056	3.5	3.5	3.5	3.0	3.0	3.1
NIKSUN	product+manager	101	2.5	2.4	2.5	2.3	2.3	2.5
Hughes Communications	product+manager	119	2.7	2.9	3.2	2.3	2.3	2.6
PAREXEL	product+manager	552	3.0	3.0	2.8	2.5	3.2	2.9
Pegasystems	product+manager	324	3.9	3.8	3.9	3.3	3.9	3.6
Shutterfly	product+manager	270	3.2	3.4	3.3	2.6	3.2	2.8
Verizon Wireless	product+manager	4885	3.5	3.4	2.7	2.9	4.2	3.4
Integral Development	product+manager	32	3.1	2.6	3.2	2.8	2.7	2.5
OPNET	product+manager	629	3.4	3.6	3.8	3.1	3.6	3.1
CenturyLink	product+manager	1420	2.9	2.9	3.3	2.5	3.2	2.7
Amplify	product+manager	168	2.9	3.0	3.9	2.3	3.3	2.5
AIR Worldwide	product+manager	90	2.8	2.8	3.2	2.5	3.0	2.8
CSX	product+manager	279	3.4	3.1	2.6	2.8	4.1	3.4
Altera	product+manager	362	3.3	3.4	3.2	2.9	3.5	3.2
Trimble Navigation	product+manager	205	3.2	3.3	3.5	2.8	3.1	2.8
CDK Global	product+manager	242	3.0	3.0	3.6	2.7	3.0	2.7
Spireon	product+manager	84	3.1	3.1	3.1	3.0	3.2	3.1
Pivotal Labs	product+manager	49	4.0	4.4	4.5	3.5	3.6	3.6
Sierra Nevada Corporation	product+manager	291	3.3	3.1	2.8	2.7	4.0	3.2
TIBCO Software	product+manager	592	3.2	3.2	3.5	2.7	3.4	3.0
kCura	product+manager	76	3.0	3.2	2.8	2.8	3.5	2.9
Unify	product+manager	300	2.6	2.6	3.2	2.1	2.5	2.0
Pure Storage	product+manager	107	4.4	4.6	4.2	4.6	4.4	4.4
GE Aviation	product+manager	451	3.8	3.9	3.3	3.4	3.6	3.9
Tango	product+manager	64	3.0	2.9	2.6	2.8	3.4	3.3
Varian Medical Systems	product+manager	217	3.6	3.6	3.5	3.1	3.6	2.9
New Relic	product+manager	87	3.7	3.7	4.1	3.6	3.3	3.6
AccessData	product+manager	74	2.1	2.1	2.8	2.1	2.4	2.3
Caterpillar	product+manager	1248	3.4	3.2	3.4	2.7	3.7	3.2
AppFolio	product+manager	84	4.5	4.7	4.5	4.3	4.1	4.2
Ford Motor Company	product+manager	1239	3.8	3.6	3.5	3.4	3.7	3.5
SolarCity	product+manager	1196	3.9	4.2	3.4	3.7	3.7	4.1
J. C. Penney	product+manager	3643	3.1	3.2	3.0	2.7	2.8	2.7
Aerotek	product+manager	1179	3.2	3.3	2.6	2.9	2.8	3.2
Cadence Design Systems	product+manager	492	3.8	3.8	3.8	3.6	3.8	3.6
Applied Materials	product+manager	769	3.4	3.3	3.2	2.9	3.5	3.2
NIKE	product+manager	1498	4.0	4.2	3.6	3.3	3.7	3.5
Stanford University	product+manager	1076	4.2	4.2	3.9	3.6	3.6	3.9
Samsung Group	product+manager	1313	3.1	2.7	2.4	2.5	3.5	2.9
Enova	product+manager	155	2.4	2.4	2.7	2.2	2.8	2.5
Panasonic Avionics Corporation	product+manager	179	3.7	3.8	3.5	3.0	3.7	3.3
Interactive Data	product+manager	209	2.6	2.4	3.2	2.1	3.0	2.2
SoFi	product+manager	44	4.2	4.3	3.6	4.2	4.7	4.3
SanDisk	product+manager	388	3.2	3.1	2.8	2.6	3.5	3.0
Disney Internet Group	product+manager	72	3.5	3.7	4.1	2.8	3.3	3.1
Advent Software	product+manager	246	3.4	3.9	4.0	2.7	3.2	2.9
The Climate Corp	product+manager	64	3.2	3.2	3.5	2.8	3.8	3.1
Epsilon	product+manager	435	3.1	3.1	3.2	2.7	3.1	2.9
Sabre	product+manager	559	3.4	3.4	3.5	2.7	3.3	3.1
Panasonic Automotive Systems Company	product+manager	97	3.7	3.8	3.3	3.4	3.7	3.7
Answers Corporation	product+manager	51	3.0	2.7	3.0	2.5	3.1	2.6
ShoreTel	product+manager	137	3.4	3.6	3.6	3.2	3.3	3.3
Ooyala	product+manager	88	4.0	4.2	4.0	3.7	3.9	3.9
Blackboard	product+manager	248	3.0	2.8	3.2	2.5	3.2	2.6
Foliage	product+manager	30	3.3	3.2	2.9	3.0	3.7	2.9
GE Transportation	product+manager	178	3.4	3.4	3.1	3.0	3.5	3.4
Adchemy	product+manager	44	3.4	3.3	3.5	3.1	3.6	3.2
"Disney Parks &amp; Resorts"	product+manager	1423	3.7	4.1	3.1	3.1	3.3	3.4
Hotwire	product+manager	137	3.7	3.7	4.2	3.3	3.4	3.4
Tapestry Solutions	product+manager	51	3.4	3.7	3.8	3.2	3.0	2.9
UST Global	product+manager	645	2.7	2.9	3.1	2.5	2.4	2.7
