Company	Job	Number of reviews	Overall_Data_Science	Culture & Values_Data_Science	Work/Life Balance_Data_Science	Senior Management_Data_Science	Comp & Benefits_Data_Science	Career Opportunities_Data_Science
Spirent Communications	data+scientist	136	3.0	2.9	3.3	2.3	3.2	2.7
Leidos	data+scientist	423	3.3	3.2	3.5	2.7	3.3	3.1
Lithium Technologies	data+scientist	156	3.9	3.9	4.1	3.7	3.8	3.7
ARRIS	data+scientist	168	3.3	3.2	3.6	3.0	3.5	2.9
StubHub	data+scientist	204	2.9	2.7	3.5	2.3	3.5	2.8
Ciena	data+scientist	235	3.5	3.4	3.7	3.0	3.5	2.8
MobiTV	data+scientist	70	3.4	3.7	4.0	3.1	3.6	3.0
Marvell Technology	data+scientist	485	3.2	2.8	3.2	2.6	2.9	3.0
HERE	data+scientist	139	3.5	3.6	3.8	3.0	3.5	3.0
"L&T; Infotech"	data+scientist	1096	3.1	3.0	3.1	2.5	2.5	3.1
Evernote	data+scientist	93	3.9	4.0	4.2	3.3	4.0	3.7
Volt Information Sciences	data+scientist	342	3.0	2.8	3.1	2.7	2.4	2.7
Nortel Networks	data+scientist	478	3.3	3.7	3.7	2.5	3.8	3.6
UBS	data+scientist	2061	3.4	3.3	3.5	3.0	3.2	3.2
Continental	data+scientist	532	3.7	3.6	3.6	3.1	3.5	3.4
Apollo Education Group	data+scientist	478	2.6	2.7	3.4	1.9	3.4	2.3
JDSU	data+scientist	239	2.8	2.5	2.8	2.3	3.1	2.5
Syntel	data+scientist	1059	2.7	2.5	2.5	2.1	2.2	2.7
Trading Technologies	data+scientist	73	2.8	3.2	3.5	2.3	3.2	2.4
Concur	data+scientist	342	3.9	4.1	3.9	3.6	3.6	3.6
Palantir Technologies	data+scientist	175	4.4	4.5	3.1	4.1	4.0	4.4
Cobalt	data+scientist	283	3.7	3.9	4.0	3.5	3.2	3.5
Getty Images	data+scientist	185	3.2	3.5	3.8	2.7	3.4	2.7
Blue Coat Systems	data+scientist	199	3.7	3.6	3.7	3.4	3.8	3.4
Fluke Networks	data+scientist	109	2.3	2.6	2.9	2.1	2.8	2.2
Beckman Coulter	data+scientist	423	3.0	2.8	2.7	2.5	3.3	2.8
Next Jump	data+scientist	126	3.6	3.7	2.8	3.4	3.8	3.7
Adknowledge	data+scientist	138	3.3	3.1	3.3	3.0	3.6	3.1
Samsung Electronics America	data+scientist	404	2.9	2.5	2.4	2.3	3.7	2.7
Constant Contact	data+scientist	188	3.7	4.0	4.0	3.2	3.7	3.4
Mahindra Satyam	data+scientist	938	3.3	3.5	3.4	2.9	2.7	3.3
InsideSales.Com	data+scientist	167	3.2	3.1	3.2	3.0	3.1	3.3
Ticketmaster	data+scientist	224	3.5	3.4	3.6	3.1	3.1	3.3
MedAssets	data+scientist	326	2.6	3.1	3.4	2.2	2.4	2.3
Mitchell International	data+scientist	136	3.2	3.2	3.3	2.9	3.0	2.8
Neustar	data+scientist	256	3.0	2.7	3.2	2.4	4.0	2.8
Emerson	data+scientist	1056	3.5	3.5	3.5	3.0	3.0	3.1
Sage	data+scientist	462	2.8	2.8	3.2	2.1	3.0	2.6
Blackhawk Network	data+scientist	137	2.6	2.9	3.0	2.4	2.5	2.2
Whitepages	data+scientist	52	4.5	4.6	4.6	4.3	4.3	4.3
HealthTap	data+scientist	80	4.2	4.4	3.7	4.3	4.1	4.5
NIKSUN	data+scientist	101	2.5	2.4	2.5	2.3	2.3	2.5
ACI Worldwide	data+scientist	292	3.0	2.8	2.9	2.4	3.1	2.8
Hughes Communications	data+scientist	119	2.7	2.9	3.2	2.3	2.3	2.6
AppNexus	data+scientist	152	4.2	4.5	4.1	3.9	3.8	4.1
Pegasystems	data+scientist	324	3.9	3.8	3.9	3.3	3.9	3.6
Shutterfly	data+scientist	270	3.2	3.4	3.3	2.6	3.2	2.8
Integral Development	data+scientist	32	3.1	2.6	3.2	2.8	2.7	2.5
OPNET	data+scientist	629	3.4	3.6	3.8	3.1	3.6	3.1
CSX	data+scientist	279	3.4	3.1	2.6	2.8	4.1	3.4
Altera	data+scientist	362	3.3	3.4	3.2	2.9	3.5	3.2
Bally Technologies	data+scientist	298	2.8	2.4	2.1	2.2	3.2	2.7
Trimble Navigation	data+scientist	205	3.2	3.3	3.5	2.8	3.1	2.8
CDK Global	data+scientist	242	3.0	3.0	3.6	2.7	3.0	2.7
The Zappos Family	data+scientist	244	3.7	3.9	3.9	3.0	3.8	3.6
Spireon	data+scientist	84	3.1	3.1	3.1	3.0	3.2	3.1
Pivotal Labs	data+scientist	49	4.0	4.4	4.5	3.5	3.6	3.6
Sierra Nevada Corporation	data+scientist	291	3.3	3.1	2.8	2.7	4.0	3.2
Cyan	data+scientist	235	3.5	3.4	3.7	3.0	3.5	2.8
Barracuda Networks	data+scientist	182	3.0	3.1	3.2	2.6	2.5	3.1
TIBCO Software	data+scientist	592	3.2	3.2	3.5	2.7	3.4	3.0
kCura	data+scientist	76	3.0	3.2	2.8	2.8	3.5	2.9
