Name	Job	Industry	Sector	Number of ratings	Overall rating	Culture and values	Work life balance	Senior Leadership	Compensation and benefits	Career opportunities	Recommend to friend	Name CEO	Pourcentage approve CEO
Federal Energy Regulatory Commission	Overall	Federal Agencies	Government	63	4	3.7	4.5	3.5	3.8	3.5	0.9	Cheryl LaFleur	95
C3 Energy	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	62	4.6	4.5	3.8	4.6	4.6	4.6	0.9	Thomas M. Siebel	95
"C&J; Energy Services"	Overall	"Motion Picture Production &amp; Distribution"	Media	62	3.3	3.9	3.7	2.7	3.5	3.1	0.7	Jim Lanzone	100
XTO Energy	Overall	"Oil &amp; Gas Exploration &amp; Production"	"Oil, Gas, Energy &amp; Utilities"	58	3.9	4.4	4.2	3.9	4.1	3.4	0.9	Randy Cleveland	99
Ambit Energy	Overall	Utilities	"Oil, Gas, Energy &amp; Utilities"	57	3.6	3.6	3.8	3.2	3.8	3.7	0.6	Jere W. Thompson Jr.	87
Alpha Natural Resources	Overall	Mining	"Mining &amp; Metals"	57	2.8	3.1	2.8	2.9	3.2	2.5	0.4	Kevin S. Crutchfield	46
Reliant Energy	Overall	Utilities	"Oil, Gas, Energy &amp; Utilities"	57	2.8	2.4	3.2	2.3	2.9	2.7	0.6	Elizabeth Killinger	76
Alliant Energy	Overall	Utilities	"Oil, Gas, Energy &amp; Utilities"	56	3.3	3.6	3.5	3.3	3.7	3.1	0.7	Patricia Kampling	99
Green Mountain Energy	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	54	3.2	3.7	3.5	2.9	3.0	2.8	0.6	Elizabeth Killinger	100
Covanta	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	54	2.8	2.7	2.5	2.3	3.4	2.6	0.5	Steve Jones	62
ONEOK	Overall	Transportation Management	"Transportation &amp; Logistics"	53	3.4	3.7	3.5	3.1	3.4	2.9	0.8	Terry K. Spencer	74
PECO Energy	Overall	Utilities	"Oil, Gas, Energy &amp; Utilities"	52	4.1	4.2	3.8	3.8	3.9	3.6	0.9	Denis P. O Brien	99
Axon EP	Overall	"Oil &amp; Gas Exploration &amp; Production"	"Oil, Gas, Energy &amp; Utilities"	52	2.6	2.5	2.6	2.5	2.7	2.7	0.5	Gary Stratulate	46
Infinite Energy	Overall	Utilities	"Oil, Gas, Energy &amp; Utilities"	52	3.9	4.4	4.1	4.0	3.4	3.3	0.8	Darin R. Cook	80
Select Energy Services	Overall	"Oil &amp; Gas Exploration &amp; Production"	"Oil, Gas, Energy &amp; Utilities"	52	2.7	2.9	2.9	2.7	3.3	2.5	0.6	John Schmitz	38
Atmos Energy	Overall	"Oil &amp; Gas Services"	"Oil, Gas, Energy &amp; Utilities"	51	3.8	4.2	4.0	3.7	3.9	3.4	0.8	Kim R. Cocklin	94
Superior Energy	Overall	"Oil &amp; Gas Services"	"Oil, Gas, Energy &amp; Utilities"	51	3.5	3.1	3.0	2.9	3.6	2.8	0.5	David D. Dunlap	85
HB Rentals	Overall	"Oil &amp; Gas Services"	"Oil, Gas, Energy &amp; Utilities"	51	3.5	3.1	3.0	2.9	3.6	2.8	0.5	David D. Dunlap	85
Progress Energy	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	49	3.3	3.8	3.6	3.1	3.8	2.9	0.6	Lynn J. Good	100
IGS Energy	Overall	Utilities	"Oil, Gas, Energy &amp; Utilities"	48	3.4	3.8	3.0	3.4	3.5	3.4	0.6	Scott White	93
