Name	Job	Industry	Sector	Number of ratings	Overall rating	Culture and values	Work life balance	Senior Leadership	Compensation and benefits	Career opportunities	Recommend to friend	Name CEO	Pourcentage approve CEO
Entertainment One	Overall	"Motion Picture Production &amp; Distribution"	Media	34	3	4.1	3.4	4.0	3.2	3.8	0.9	Darren Throop	78
InMotion Entertainment	Overall	"Consumer Electronics &amp; Appliances Stores"	Retail	33	2.2	2.0	1.9	2.0	2.0	2.1	0.3	Jeremy Smith	49
SBE Entertainment Group	Overall	"Hotels, Motels, &amp; Resorts"	"Travel &amp; Tourism"	33	3.4	2.9	2.7	2.9	3.1	2.8	0.6	Sam Nazarian	76
Washington Sports	Overall	"Sports &amp; Recreation"	"Arts, Entertainment &amp; Recreation"	33	2.7	3.0	2.4	2.3	2.4	2.7	0.4	Ted Leonsis	86
KingsIsle Entertainment	Overall	Video Games	Media	32	3.3	3.1	3.6	2.8	3.0	2.8	0.6	Elie Akilian	61
Bardel Entertainment	Overall	"TV Broadcast &amp; Cable Networks"	Media	26	2.4	0.0	0.0	0.0	0.0	0.0	0.0	Delna Bhesania	8
Burns Entertainment And Sports Marketing	Overall	"Talent &amp; Modeling Agencies"	"Arts, Entertainment &amp; Recreation"	24	3.1	3.6	3.9	3.7	2.4	3.3	0.7	Bob Williams	65
Warner Bros. Interactive Entertainment	Overall	Video Games	Media	23	3.6	3.5	3.9	3.0	3.3	2.9	0.7	Martin Tremblay	68
"Kroenke Sports &amp; Entertainment"	Overall	"Sports &amp; Recreation"	"Arts, Entertainment &amp; Recreation"	22	2.8	3.1	3.0	2.6	2.6	2.8	0.6	Stan Kroenke	52
Rovio Entertainment	Overall	Video Games	Media	22	2.8	0.0	0.0	0.0	0.0	0.0	0.0		
DC Comics	Overall	Publishing	Media	20	3.3	3.2	3.6	2.6	3.5	2.6	0.7	Diane Nelson	33
Kennywood	Overall	"Museums, Zoos &amp; Amusement Parks"	"Arts, Entertainment &amp; Recreation"	20	2.5	3.1	2.0	2.3	1.5	2.2	0.3	Harry Henninger	62
RGH	Overall	"Motion Picture Production &amp; Distribution"	Media	19	2.4	2.2	3.0	1.7	2.3	2.0	0.3		
Trump Resorts	Overall	Gambling	"Arts, Entertainment &amp; Recreation"	17	2.9	2.8	3.1	2.9	2.4	2.8	0.3	Robert F. (Bob) Griffin	29
"Motorcity Hotel &amp; Casino"	Overall	Gambling	"Arts, Entertainment &amp; Recreation"	17	2.9	3.0	2.4	2.1	3.4	2.6	0.6		
Lifetime	Overall	"TV Broadcast &amp; Cable Networks"	Media	17	3.2	3.1	2.7	2.8	3.3	3.3	0.8	Abbe Raven	70
CID Entertainment	Overall	"Sports &amp; Recreation"	"Arts, Entertainment &amp; Recreation"	16	3.8	4.2	3.2	3.5	3.2	3.8	0.6	Dan Berkowitz	59
Foundation 9 Entertainment	Overall	"Computer Hardware &amp; Software"	Information Technology	16	3	3.0	2.9	2.3	2.8	2.5	0.4	James North-Hearn	0
High Noon Entertainment	Overall	"TV Broadcast &amp; Cable Networks"	Media	16	2.8	2.8	2.6	2.8	2.8	3.0	0.6	Jim Berger	59
"Spurs Sports &amp; Entertainment"	Overall	"Sports &amp; Recreation"	"Arts, Entertainment &amp; Recreation"	16	3.6	4.1	2.9	3.3	2.8	3.1	0.8	Peter M. Holt	85
DigiPhoto Entertainment	Overall	Consulting	Business Services	16	2.6	2.3	2.1	2.2	1.7	1.6	0.2		
Rainmaker Entertainment	Overall	"Motion Picture Production &amp; Distribution"	Media	16	2.9	0.0	0.0	0.0	0.0	0.0	0.0	Craig Graham	100
Chelsea Piers	Overall	"Sports &amp; Recreation"	"Arts, Entertainment &amp; Recreation"	15	3.1	3.3	3.0	2.7	2.5	2.8	0.4	Tom A. Bernstein	100
NEN	Overall	Consumer Products Manufacturing	Manufacturing	15	2.5	2.9	2.6	2.5	2.6	2.5	0.3	Kevin Wall	35
Intergi Entertainment	Overall	"Advertising &amp; Marketing"	Business Services	14	3.5	3.8	3.6	3.6	3.5	3.6	0.7		
Tropicana Entertainment	Overall	Gambling	"Arts, Entertainment &amp; Recreation"	14	2.6	2.3	2.8	2.3	2.2	2.6	0.4	Carl C. Icahn	60
Entertainment Fusion Group	Overall	Accounting	"Accounting &amp; Legal"	14	2.2	1.9	2.3	1.8	1.7	2.2	0.3	Peter Philipp Wingsoe	45
Asia TV USA	Overall	"TV Broadcast &amp; Cable Networks"	Media	14	1.6	1.3	1.6	1.2	1.9	1.7	0.0	Subhash Chandra	0
Alliance Entertainment	Overall	"Media &amp; Entertainment Retail Stores"	Retail	14	3.4	2.9	3.2	2.7	3.3	2.4	0.4	Mike Davis	50
Stratosphere Hotel Casino	Overall	Gambling	"Arts, Entertainment &amp; Recreation"	13	2.9	3.0	3.3	2.4	3.1	2.6	0.4		
MSG Entertainment	Overall	Performing Arts	"Arts, Entertainment &amp; Recreation"	13	2.8	2.7	2.4	2.5	2.8	2.8	0.5	Tad Smith	19
Silver Dollar City	Overall	"Sports &amp; Recreation"	"Arts, Entertainment &amp; Recreation"	13	3.6	4.0	2.8	3.4	2.6	2.4	0.7		
Horseshoe Casino Cleveland	Overall	"Sports &amp; Recreation"	"Arts, Entertainment &amp; Recreation"	13	3.3	3.7	2.1	2.8	3.5	3.6	0.7		
Obsidian Entertainment	Overall	Video Games	Media	13	4.2	4.6	3.7	4.1	3.5	4.0	0.9	Feargus Urquhart	100
Red Storm Entertainment	Overall	Video Games	Media	13	3.1	3.2	3.9	2.8	3.3	2.8	0.5	Steve Reid	70
San Jose Sharks	Overall	"Sports &amp; Recreation"	"Arts, Entertainment &amp; Recreation"	13	3.4	3.1	3.4	3.3	3.0	2.6	0.7	Doug Wilson	82
